"indicador","valor","unidad"
"RACIONES COMIDAS / DÍA","29226.0","RACIONES/DÍA"
"RACIONES REFRIGERIOS / DÍA","33838.0","RACIONES/DÍA"
"TOTAL RACIONES / DÍA","63064.0","RACIONES/DÍA"
"DEPENDENCIAS CAPITAL","212.0","COMEDORES/MERENDEROS"
"DEPENDENCIAS INTERIOR","168.0","COMEDORES/MERENDEROS"
"TOTAL DEPENDENCIAS","380.0","COMEDORES/MERENDEROS"
"COSTO RACIONES DIARIO","100902400.0","PESOS ($)"
"COSTO RACIONES MENSUAL (30 días)","3027072000.0","PESOS ($)"
"COSTO RACIONES ANUAL (252 días hábiles)","25427404800.0","PESOS ($)"
"COSTO GAS MENSUAL","11570000.0","PESOS ($)"
"COSTO GAS ANUAL","138840000.0","PESOS ($)"
"COSTO LIMPIEZA BIMESTRAL","13311798.0","PESOS ($)"
"COSTO LIMPIEZA MENSUAL","6655899.0","PESOS ($)"
"COSTO LIMPIEZA ANUAL","79870788.0","PESOS ($)"
"COSTO FUMIGACIÓN TRIMESTRAL","2600000.0","PESOS ($)"
"COSTO FUMIGACIÓN ANUAL","10400000.0","PESOS ($)"
"TOTAL CARNE VACUNA (KG/SEMANA)","2043.3","KG/SEMANA"
"TOTAL POLLO (KG/SEMANA)","583.8","KG/SEMANA"
"TOTAL CERDO (KG/SEMANA)","291.9","KG/SEMANA"
"BECARIOS CAPITAL","615.0","PERSONAS"
"BECARIOS INTERIOR","22.0","PERSONAS"
"MANOS PORA CAPITAL - BASES","52.0","BASES"
"MANOS PORA CAPITAL - BENEFICIARIOS","800.0","PERSONAS"
"MANOS PORA MERCEDES - BASES","20.0","BASES"
"MANOS PORA MERCEDES - BENEFICIARIOS","1500.0","PERSONAS"
"PRECIO KG CARNE VACUNA","13380.43","PESOS ($)/KG"
"PRECIO KG POLLO","7678.57","PESOS ($)/KG"
"PRECIO KG CERDO","8420.0","PESOS ($)/KG"
"INVERSIÓN CARNE SEMANAL (TOTAL)","34280777.7","PESOS ($)"
"INVERSIÓN CARNE MENSUAL (TOTAL)","137123110.8","PESOS ($)"
